law_name,section,content,type
California Consumer Privacy Act Regulations (CCPA),Definition of Affirmative,"Details of Definition of Affirmative authorization in the California Consumer Privacy Act Regulations (CCPA): “Affirmative authorization” means an action that demonstrates the intentional decision by the consumer to opt-in to the sale of personal information. Within the context of a parent or guardian acting on behalf of a consumer under 13 years of age, it means that the parent or guardian has provided consent to the sale of the consumer’s personal information in accordance with the methods set forth in section 999.330. For consumers 13 years of age and older, it is demonstrated through a two-step process whereby the consumer shall first, clearly request to opt-in and then second, separately confirm their choice to opt-in.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Attorney General,Details of Definition of Attorney General in the California Consumer Privacy Act Regulations (CCPA): “Attorney General” means the California Attorney General or any officer or employee of the California Department of Justice acting under the authority of the California Attorney General.,recital
California Consumer Privacy Act Regulations (CCPA),Definition of Authorized agent,Details of Definition of Authorized agent in the California Consumer Privacy Act Regulations (CCPA): “Authorized agent” means a natural person or a business entity registered with the Secretary of State to conduct business in California that a consumer has authorized to act on their behalf subject to the requirements set forth in section 999.326.,recital
California Consumer Privacy Act Regulations (CCPA),Definition of Categories of sources,"Details of Definition of Categories of sources in the California Consumer Privacy Act Regulations (CCPA): “Categories of sources” means types or groupings of persons or entities from which a business collects personal information about consumers, described with enough particularity to provide consumers with a meaningful understanding of the type of person or entity. They may include the consumer directly, advertising networks, internet service providers, data analytics providers, government entities, operating systems and platforms, social networks, and data brokers.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Categories of third parties,"Details of Definition of Categories of third parties in the California Consumer Privacy Act Regulations (CCPA): “Categories of third parties” means types or groupings of third parties with whom the business shares personal information, described with enough particularity to provide consumers with a meaningful understanding of the type of third party. They may include advertising networks, internet service providers, data analytics providers, government entities, operating systems and platforms, social networks, and data brokers.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of CCPA,"Details of Definition of CCPA in the California Consumer Privacy Act Regulations (CCPA): “CCPA” means the California Consumer Privacy Act of 2018, Civil Code sections 1798.100 et seq.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of COPPA,"Details of Definition of COPPA in the California Consumer Privacy Act Regulations (CCPA): “COPPA” means the Children’s Online Privacy Protection Act, 15 U.S.C. sections 6501 to 6508 and 16 Code of Federal Regulations part 312.5.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Employment benefits,"Details of Definition of Employment benefits in the California Consumer Privacy Act Regulations (CCPA): “Employment benefits” means retirement, health, and other benefit programs, services, or products to which consumers and their dependents or their beneficiaries receive access through the consumer’s employer.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Employment-related information,"Details of Definition of Employment-related information in the California Consumer Privacy Act Regulations (CCPA): “Employment-related information” means personal information that is collected by the business about a natural person for the reasons identified in Civil Code section 1798.145, subdivision (h)(1). The collection of employment-related information, including for the purpose of administering employment benefits, shall be considered a business purpose.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Financial incentive,"Details of Definition of Financial incentive in the California Consumer Privacy Act Regulations (CCPA): “Financial incentive” means a program, benefit, or other offering, including payments to consumers, related to the collection, deletion, or sale of personal information.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Household,"Details of Definition of Household in the California Consumer Privacy Act Regulations (CCPA): “Household” means a person or group of people who: (1) reside at the same address, (2) share a common device or the same service provided by a business, and (3) are identified by the business as sharing the same group account or unique identifier.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Notice at collection,"Details of Definition of Notice at collection in the California Consumer Privacy Act Regulations (CCPA): “Notice at collection” means the notice given by a business to a consumer at or before the point at which a business collects personal information from the consumer as required by Civil Code section 1798.100, subdivision (b), and specified in these regulations.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Notice of right to opt-out,Details of Definition of Notice of right to opt-out in the California Consumer Privacy Act Regulations (CCPA): “Notice of right to opt-out” means the notice given by a business informing consumers of their right to opt-out of the sale of their personal information as required by Civil Code sections 1798.120 and 1798.135 and specified in these regulations.,recital
California Consumer Privacy Act Regulations (CCPA),Definition of Notice of financial incentive,"Details of Definition of Notice of financial incentive in the California Consumer Privacy Act Regulations (CCPA): “Notice of financial incentive” means the notice given by a business explaining each financial incentive or price or service difference as required by Civil Code section 1798.125, subdivision (b), and specified in these regulations.",recital
