id,score,content,type,summary
Digital Services Act (DSA) - Contextual paragraph (55),0.743544698,"Details of the contextual paragraph (55) of the Digital Services Act (DSA): Restriction of visibility may consist in demotion in ranking or in recommender systems, as well as in limiting accessibility by one or more recipients of the service or blocking the user from an online community without the user being aware ('shadow banning'). The monetisation via advertising revenue of information provided by the recipient of the service can be restricted by suspending or terminating the monetary payment or revenue associated to that information. The obligation to provide a statement of reasons should however not apply with respect to deceptive high-volume commercial content disseminated through intentional manipulation of the service, in particular inauthentic use of the service such as the use of bots or fake accounts or other deceptive uses of the service. Irrespective of other possibilities to challenge the decision of the provider of hosting services, the recipient of the service should always have a right to effective remedy before a court in accordance with the national law.",recital,"The Digital Services Act (DSA) allows online platforms to limit the visibility of users or content, including lowering their ranking, limiting who can see their posts, or secretly blocking them ('shadow banning'). It also allows platforms to cut off advertising revenue for certain content. However, platforms don't have to explain these actions if they're taken against deceptive or manipulative content, like fake accounts or bots. Regardless of these rules, users always have the right to challenge a platform's decision in court, according to local laws."
Digital Markets Act (DMA) - Contextual Paragraph (41),0.742179394,"Details of the Contextual Paragraph (41) in the Digital Markets Act (DMA): The ability of end users to acquire content, subscriptions, features or other items outside the core platform services of the gatekeeper should not be undermined or restricted. In particular, a situation should be avoided whereby gatekeepers restrict end users from access to, and use of, such services via a software application running on their core platform service. For example, subscribers to online content purchased outside a software application, software application store or virtual assistant should not be prevented from accessing such online content on a software application on the core platform service of the gatekeeper simply because it was purchased outside such software application, software application store or virtual assistant.",rectial,"The Digital Markets Act (DMA) includes a provision (Paragraph 41) that protects consumers' rights to use content, subscriptions, and other items they've purchased outside of a major digital platform's core services. This means that big tech companies, referred to as ""gatekeepers"", can't stop you from using a service or content you've bought elsewhere on their platforms. For instance, if you subscribe to an online service outside of a particular app, app store, or virtual assistant, you should still be able to access it on that platform, regardless of where you originally purchased it."
Digital Services Act (DSA) - Contextual paragraph (23),0.741742194,"Details of the contextual paragraph (23) of the Digital Services Act (DSA): The exemption of liability should not apply where the recipient of the service is acting under the authority or the control of the provider of a hosting service. For example, where the provider of an online platform that allows consumers to conclude distance contracts with traders determines the price of the goods or services offered by the trader, it could be considered that the trader acts under the authority or control of that online platform.",recital,"The Digital Services Act (DSA) states that online platforms, like those offering distance contracts, cannot avoid responsibility if they have authority or control over the service recipient. For instance, if an online platform sets the price for a trader's goods or services, the platform is considered to have control over the trader and cannot claim exemption from liability."
Digital Services Act (DSA) - Contextual paragraph (83),0.741702557,"Details of the contextual paragraph (83) of the Digital Services Act (DSA): A fourth category of risks stems from similar concerns relating to the design, functioning or use, including through manipulation, of very large online platforms and of very large online search engines with an actual or foreseeable negative effect on the protection of public health, minors and serious negative consequences to a person's physical and mental well-being, or on gender-based violence. Such risks may also stem from coordinated disinformation campaigns related to public health, or from online interface design that may stimulate behavioural addictions of recipients of the service.",recital,"The Digital Services Act (DSA) identifies a fourth category of risks related to large online platforms and search engines. This includes potential harm to public health, minors, and individuals' physical and mental well-being, as well as the risk of gender-based violence. These risks could arise from the misuse or manipulation of these platforms, coordinated disinformation campaigns about public health, or designs that could lead to addictive behaviors in users."
Digital Services Act (DSA) - Contextual paragraph (73),0.741684616,"Details of the contextual paragraph (73) of the Digital Services Act (DSA): To ensure an efficient and adequate application of that obligation, without imposing any disproportionate burdens, providers of online platforms allowing consumers to conclude distance contracts with traders should make best efforts to assess the reliability of the information provided by the traders concerned, in particular by using freely available official online databases and online interfaces, such as national trade registers and the VAT Information Exchange System, or request the traders concerned to provide trustworthy supporting documents, such as copies of identity documents, certified payment accounts' statements, company certificates and trade register certificates. They may also use other sources, available for use at a distance, which offer a similar degree of reliability for the purpose of complying with this obligation. However, the providers of online platforms concerned should not be required to engage in excessive or costly online fact-finding exercises or to carry out disproportionate verifications on the spot. Nor should such providers, which have made the best efforts required by this Regulation, be understood as guaranteeing the reliability of the information towards consumer or other interested parties.",recital,"The Digital Services Act (DSA) requires online platforms that facilitate distance contracts between consumers and traders to make reasonable efforts to verify the reliability of the trader's information. This could involve using free, official online databases such as national trade registers or VAT Information Exchange System, or asking traders for credible supporting documents. However, the DSA does not require these platforms to conduct extensive or expensive online investigations or on-site checks. Furthermore, even if the platforms have made their best efforts to verify the information, they are not guaranteeing its accuracy to consumers or other interested parties."
Digital Markets Act (DMA) - Contextual Paragraph (49),0.741647303,"Details of the Contextual Paragraph (49) in the Digital Markets Act (DMA): A gatekeeper can use different means to favour its own or third-party services or products on its operating system, virtual assistant or web browser, to the detriment of the same or similar services that end users could obtain through other third parties. This can for instance happen where certain software applications or services are preinstalled by a gatekeeper. To enable end user choice, gatekeepers should not prevent end users from un-installing any software applications on their operating system. It should be possible for the gatekeeper to restrict such un-installation only when such software applications are essential to the functioning of the operating system or the device. Gatekeepers should also allow end users to easily change the default settings on the operating system, virtual assistant and web browser when those default settings favour their own software applications and services. This includes prompting a choice screen, at the moment of the users"" first use of an online search engine, virtual assistant or web browser of the gatekeeper listed in the designation decision, allowing end users to select an alternative default service when the operating system of the gatekeeper directs end users to those online search engine, virtual assistant or web browser and when the virtual assistant or the web browser of the gatekeeper direct the user to the online search engine listed in the designation decision.",rectial,"The Digital Markets Act (DMA) states that a 'gatekeeper' (a company controlling access to a digital service or product) should not unfairly promote its own or third-party products or services over others. This could happen if certain apps or services are pre-installed by the gatekeeper. To ensure fair choice, gatekeepers must not stop users from uninstalling any apps on their devices unless they are essential for the device to function. Gatekeepers must also let users easily change default settings on their devices if these settings favor their own apps and services. This includes offering a choice screen when users first use an online search engine, virtual assistant or web browser, allowing them to select an alternative default service."
Digital Services Act (DSA) - Contextual paragraph (149),0.741526484,"Details of the contextual paragraph (149) of the Digital Services Act (DSA): Without prejudice to the rights of recipients of services to turn to a representative in accordance with the Directive (EU) 2020/1828 of the European Parliament and of the Council (33) or to any other type of representation under national law, recipients of the services should also have the right to mandate a legal person or a public body to exercise their rights provided for in this Regulation. Such rights may include the rights related to the submission of notices, the challenging of the decisions taken by providers of intermediary services, and the lodging of complaints against the providers for infringing this Regulation. Certain bodies, organisations and associations have particular expertise and competence in detecting and flagging erroneous or unjustified content moderation decisions, and their complaints on behalf of recipients of the service may have a positive impact on freedom of expression and of information in general, therefore, providers of online platforms should treat those complaints without undue delay.",recital,"The Digital Services Act (DSA) allows users of digital services to appoint a legal entity or public body to exercise their rights under this law. These rights might include submitting notices, challenging decisions made by service providers, and filing complaints against providers for violating the DSA. Certain groups with expertise in identifying and reporting unfair content moderation decisions can file complaints on behalf of users. This could positively affect freedom of expression and information. Service providers should promptly address these complaints."
Digital Services Act (DSA) - Contextual paragraph (108),0.741512418,"Details of the contextual paragraph (108) of the Digital Services Act (DSA): In addition to the crisis response mechanism for very large online platforms and very large online search engines, the Commission may initiate the drawing up of voluntary crisis protocols to coordinate a rapid, collective and cross-border response in the online environment. Such can be the case, for example, where online platforms are misused for the rapid spread of illegal content or disinformation or where the need arises for rapid dissemination of reliable information. In light of the important role of very large online platforms in disseminating information in our societies and across borders, providers of such platforms should be encouraged in drawing up and applying specific crisis protocols. Such crisis protocols should be activated only for a limited period of time and the measures adopted should also be limited to what is strictly necessary to address the extraordinary circumstance. Those measures should be consistent with this Regulation, and should not amount to a general obligation for the participating providers of very large online platforms and of very large online search engines to monitor the information which they transmit or store, nor actively to seek facts or circumstances indicating illegal content.",recital,"The Digital Services Act (DSA) includes a provision (paragraph 108) for the creation of voluntary crisis protocols. These protocols are intended to help large online platforms and search engines respond quickly and collectively to issues like the spread of illegal content or disinformation, or the need to share reliable information quickly. The protocols should only be used for a short time and should only include measures necessary to address the specific crisis. The measures should comply with the DSA and should not require the platforms or search engines to constantly monitor the information they transmit or store, or actively look for illegal content."
Digital Services Act (DSA) - Contextual paragraph (140),0.741448224,"Details of the contextual paragraph (140) of the Digital Services Act (DSA): In view of both the particular challenges that may arise in seeking to ensure compliance by providers of very large online platforms or of very large online search engines and the importance of doing so effectively, considering their size and impact and the harms that they may cause, the Commission should have strong investigative and enforcement powers to allow it to investigate, enforce and monitor compliance with the rules laid down in this Regulation, in full respect of the fundamental right to be heard and to have access to the file in the context of enforcement proceedings, the principle of proportionality and the rights and interests of the affected parties.",recital,"The Digital Services Act (DSA) is a new law that addresses the challenges of ensuring large online platforms and search engines follow rules. Given their size and potential harm, the law gives the Commission strong powers to investigate and enforce compliance with the regulations. However, it also respects the fundamental rights of those involved, including the right to be heard and access files during enforcement proceedings. The law also considers the principle of proportionality and the rights and interests of the affected parties."
Digital Services Act (DSA) - Contextual paragraph (48),0.741387,"Details of the contextual paragraph (48) of the Digital Services Act (DSA): Given their special role and reach, it is appropriate to impose on very large online platforms and very large online search engines additional requirements regarding information and transparency of their terms and conditions. Consequently, providers of very large online platforms and very large online search engines should provide their terms and conditions in the official languages of all Member States in which they offer their services and should also provide recipients of the services with a concise and easily readable summary of the main elements of the terms and conditions. Such summaries should identify the main elements of the information requirements, including the possibility of easily opting out from optional clauses.",recital,"The Digital Services Act (DSA) introduces new rules for big online platforms and search engines. These companies must now provide their terms and conditions in all languages of the countries where they operate. They also need to give users a short, easy-to-understand summary of these terms. This summary should highlight key points, including how to opt out of any optional parts. This law aims to make it easier for users to understand what they're agreeing to when using these services."
